Data,Local,Modalidade de Venda,Preço,Produto
2022-12-01,Manaus,EXA,3.2123,Gasolina
2022-12-02,Manaus,EXA,3.2123,Gasolina
2022-12-03,Manaus,EXA,3.2123,Gasolina
2022-12-04,Manaus,EXA,3.2123,Gasolina
2022-12-05,Manaus,EXA,3.2123,Gasolina
2022-12-06,Manaus,EXA,3.2123,Gasolina
2022-12-07,Manaus,EXA,3.2123,Gasolina
2022-12-08,Manaus,EXA,3.1123,Gasolina
2022-12-09,Manaus,EXA,3.1123,Gasolina
2022-12-10,Manaus,EXA,3.1123,Gasolina
2022-12-11,Manaus,EXA,3.1123,Gasolina
2022-12-12,Manaus,EXA,3.1123,Gasolina
2022-12-13,Manaus,EXA,3.1123,Gasolina
2022-12-14,Manaus,EXA,3.1123,Gasolina
2022-12-15,Manaus,EXA,2.965,Gasolina
2022-12-16,Manaus,EXA,2.965,Gasolina
2022-12-17,Manaus,EXA,2.965,Gasolina
2022-12-18,Manaus,EXA,2.965,Gasolina
2022-12-19,Manaus,EXA,2.965,Gasolina
2022-12-20,Manaus,EXA,2.965,Gasolina
2022-12-21,Manaus,EXA,2.965,Gasolina
2022-12-22,Manaus,EXA,2.965,Gasolina
2022-12-23,Manaus,EXA,2.965,Gasolina
2022-12-24,Manaus,EXA,2.965,Gasolina
2022-12-25,Manaus,EXA,2.965,Gasolina
2022-12-26,Manaus,EXA,3.0176,Gasolina
2022-12-27,Manaus,EXA,3.0176,Gasolina
2022-12-28,Manaus,EXA,3.0176,Gasolina
2022-12-29,Manaus,EXA,3.1017,Gasolina
2022-12-30,Manaus,EXA,3.1017,Gasolina
2022-12-31,Manaus,EXA,3.1017,Gasolina
2023-01-01,Manaus,EXA,3.1017,Gasolina
2023-01-02,Manaus,EXA,3.1017,Gasolina
2023-01-03,Manaus,EXA,3.1017,Gasolina
2023-01-04,Manaus,EXA,3.1017,Gasolina
2023-01-05,Manaus,EXA,3.3294,Gasolina
2023-01-06,Manaus,EXA,3.3294,Gasolina
2023-01-07,Manaus,EXA,3.3294,Gasolina
2023-01-08,Manaus,EXA,3.3294,Gasolina
2023-01-09,Manaus,EXA,3.3294,Gasolina
2023-01-10,Manaus,EXA,3.3294,Gasolina
2023-01-11,Manaus,EXA,3.3294,Gasolina
2023-01-12,Manaus,EXA,3.2035,Gasolina
2023-01-13,Manaus,EXA,3.2035,Gasolina
2023-01-14,Manaus,EXA,3.2035,Gasolina
2023-01-15,Manaus,EXA,3.2035,Gasolina
2023-01-16,Manaus,EXA,3.2035,Gasolina
2023-01-17,Manaus,EXA,3.2035,Gasolina
2023-01-18,Manaus,EXA,3.2035,Gasolina
2023-01-19,Manaus,EXA,3.2035,Gasolina
2023-01-20,Manaus,EXA,3.356,Gasolina
2023-01-21,Manaus,EXA,3.356,Gasolina
2023-01-22,Manaus,EXA,3.356,Gasolina
2023-01-23,Manaus,EXA,3.426,Gasolina
2023-01-24,Manaus,EXA,3.426,Gasolina
2023-01-25,Manaus,EXA,3.426,Gasolina
2023-01-26,Manaus,EXA,3.6439,Gasolina
2023-01-27,Manaus,EXA,3.6439,Gasolina
2023-01-28,Manaus,EXA,3.6439,Gasolina
2023-01-29,Manaus,EXA,3.6439,Gasolina
2023-01-30,Manaus,EXA,3.6439,Gasolina
2023-01-31,Manaus,EXA,3.6439,Gasolina
2023-02-01,Manaus,EXA,3.6439,Gasolina
2023-02-02,Manaus,EXA,3.4006,Gasolina
2023-02-03,Manaus,EXA,3.4006,Gasolina
2023-02-04,Manaus,EXA,3.4006,Gasolina
2023-02-05,Manaus,EXA,3.4006,Gasolina
2023-02-06,Manaus,EXA,3.4006,Gasolina
2023-02-07,Manaus,EXA,3.4006,Gasolina
2023-02-08,Manaus,EXA,3.4006,Gasolina
2023-02-09,Manaus,EXA,3.2777,Gasolina
2023-02-10,Manaus,EXA,3.2777,Gasolina
2023-02-11,Manaus,EXA,3.2777,Gasolina
2023-02-12,Manaus,EXA,3.2777,Gasolina
2023-02-13,Manaus,EXA,3.2777,Gasolina
2023-02-14,Manaus,EXA,3.2777,Gasolina
2023-02-15,Manaus,EXA,3.2777,Gasolina
2023-02-16,Manaus,EXA,3.5231,Gasolina
2023-02-17,Manaus,EXA,3.5231,Gasolina
2023-02-18,Manaus,EXA,3.5231,Gasolina
2023-02-19,Manaus,EXA,3.5231,Gasolina
2023-02-20,Manaus,EXA,3.5231,Gasolina
2023-02-21,Manaus,EXA,3.5231,Gasolina
2023-02-22,Manaus,EXA,3.5231,Gasolina
2023-02-23,Manaus,EXA,3.5248,Gasolina
2023-02-24,Manaus,EXA,3.5248,Gasolina
2023-02-25,Manaus,EXA,3.5248,Gasolina
2023-02-26,Manaus,EXA,3.5248,Gasolina
2023-02-27,Manaus,EXA,3.5248,Gasolina
2023-02-28,Manaus,EXA,3.5248,Gasolina
2023-03-01,Manaus,EXA,3.5248,Gasolina
2023-03-02,Manaus,EXA,3.3658,Gasolina
2023-03-03,Manaus,EXA,3.2558,Gasolina
2023-03-04,Manaus,EXA,3.2558,Gasolina
2023-03-05,Manaus,EXA,3.2558,Gasolina
2023-03-06,Manaus,EXA,3.2558,Gasolina
2023-03-07,Manaus,EXA,3.2558,Gasolina
2023-03-08,Manaus,EXA,3.2558,Gasolina
2023-03-09,Manaus,EXA,3.3492,Gasolina
2023-03-10,Manaus,EXA,3.3492,Gasolina
2023-03-11,Manaus,EXA,3.3492,Gasolina
2023-03-12,Manaus,EXA,3.3492,Gasolina
2023-03-13,Manaus,EXA,3.3492,Gasolina
2023-03-14,Manaus,EXA,3.3492,Gasolina
2023-03-15,Manaus,EXA,3.3492,Gasolina
2023-03-16,Manaus,EXA,3.2401,Gasolina
2023-03-17,Manaus,EXA,3.2401,Gasolina
2023-03-18,Manaus,EXA,3.2401,Gasolina
2023-03-19,Manaus,EXA,3.2401,Gasolina
2023-03-20,Manaus,EXA,3.2401,Gasolina
2023-03-21,Manaus,EXA,3.2401,Gasolina
2023-03-22,Manaus,EXA,3.2401,Gasolina
2023-03-23,Manaus,EXA,3.1196,Gasolina
2023-03-24,Manaus,EXA,3.1196,Gasolina
2023-03-25,Manaus,EXA,3.1196,Gasolina
2023-03-26,Manaus,EXA,3.1196,Gasolina
2023-03-27,Manaus,EXA,3.1196,Gasolina
